"Campaign name","Campaign ID",Placement,Platform,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (INR)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Messaging conversations replied","Messaging conversations started","Unique CTR (all)","Cost per lead",Leads,"Leads conversion value","Ad delivery","Ad set delivery","Campaign delivery","Result rate","Cost per messaging conversation started","Reporting starts","Reporting ends"
"LPU Distance Education Patiala",6668282295797,"Instagram Stories",instagram,inactive,campaign,15008,22089,1.47181503,"7-day click or 1-day view","Messaging conversations started",3,922.63357053,307.54452351,,,47,19.6305015,41.76891532,0.32142695,,3,,,,,,,inactive,0.01358142,307.54452351,2023-07-20,2026-08-19
"SK- LPU - Facebook + Insta + Whtsapp Ads",6612219196197,Feed,facebook,inactive,campaign,2405,3868,1.60831601,"7-day click or 1-day view","Messaging conversations started",10,922.33754568,92.23375457,,,44,20.96221695,238.45334687,1.99069286,,10,,,,,,,inactive,0.25853154,92.23375457,2023-07-20,2026-08-19
"MBA - Degreecraft",6830713058997,Feed,facebook,inactive,campaign,8224,10732,1.30496109,"7-day click or 1-day view","Messaging conversations started",1,884.56049675,884.56049675,,,44,20.10364765,82.42270749,0.93179277,,1,,,,,,,inactive,0.00931793,884.56049675,2023-07-20,2026-08-19
"FB Ads - 03/08/2026",6987226896197,"Instagram Reels",instagram,inactive,campaign,25854,28976,1.12075501,"7-day click or 1-day view","Messaging conversations started",8,874.58698637,109.3233733,,,103,8.49113579,30.1831511,0.38997791,,8,,,,,,,inactive,0.02760906,109.3233733,2023-07-20,2026-08-19
"LPU Punjab - 13/05",6715753772997,"Facebook Stories",facebook,inactive,campaign,11006,15674,1.42413229,"7-day click or 1-day view","Messaging conversations started",6,872.96735444,145.49455907,,,80,10.91209193,55.69525038,0.56781932,,6,,,,,,,inactive,0.03827995,145.49455907,2023-07-20,2026-08-19
"FB Online Ads - 13/05/2026",6924458397597,"Instagram Reels",instagram,inactive,campaign,22399,32636,1.45702933,"7-day click or 1-day view","Messaging conversations started",8,860.97835398,107.62229425,,,160,5.38111471,26.38124629,0.56379458,,8,,,,,,,inactive,0.02451281,107.62229425,2023-07-20,2026-08-19
DegreeCraft,6769014077597,Feed,instagram,inactive,campaign,5312,6377,1.20048946,"7-day click or 1-day view","Messaging conversations started",10,855.5,85.55,,,28,30.55357143,134.1539909,0.54884742,,10,,,,,,,inactive,0.15681355,85.55,2023-07-20,2026-08-19
"JGND - Punjab - MAY 2025",6699157867197,"Instagram Reels",instagram,inactive,campaign,30384,37290,1.22729068,"7-day click or 1-day view","Messaging conversations started",10,844.02,84.402,,,46,18.34826087,22.63395012,0.29230357,,10,,,,,,,inactive,0.02681684,84.402,2023-07-20,2026-08-19
"Fb Ads -SK - 06/08/2026",6988772271597,Feed,facebook,inactive,campaign,9664,13360,1.38245033,"7-day click or 1-day view","Messaging conversations started",8,841.36147051,105.17018381,,,116,7.25311613,62.97615797,1.29491018,,8,,,,,,,inactive,0.05988024,105.17018381,2023-07-20,2026-08-19
"SKIES - 03/05/2026",6915936952597,Feed,facebook,inactive,campaign,3144,4961,1.57792621,"7-day click or 1-day view","Messaging conversations started",7,838.37656412,119.76808059,,,41,20.44820888,168.99346183,1.61257811,,7,,,,,,,inactive,0.14110058,119.76808059,2023-07-20,2026-08-19
"FB Ads - 23rd Jan",6857822968197,Feed,facebook,inactive,campaign,10704,14620,1.36584454,"7-day click or 1-day view","Messaging conversations started",2,801.60356759,400.8017838,,,55,14.57461032,54.82924539,0.90287278,,2,,,,,,,inactive,0.01367989,400.8017838,2023-07-20,2026-08-19
"Fb Ads -SK - 06/08/2026",6988772271597,"Facebook Reels",facebook,inactive,campaign,12736,19538,1.53407663,"7-day click or 1-day view","Messaging conversations started",7,785.12471423,112.16067346,,,42,18.69344558,40.18449761,0.38898557,,7,,,,,,,inactive,0.03582762,112.16067346,2023-07-20,2026-08-19
"New Engagement campaign",6931637948197,Feed,instagram,inactive,campaign,8732,11859,1.35810811,"7-day click or 1-day view","Messaging conversations started",3,770.63492388,256.87830796,,,43,17.92174242,64.98312875,0.57340417,,3,,,,,,,inactive,0.02529724,256.87830796,2023-07-20,2026-08-19
"FB Ads - 03/08/2026",6987226896197,Feed,instagram,inactive,campaign,11951,12955,1.08400971,"7-day click or 1-day view","Messaging conversations started",2,725.24091622,362.62045811,,,30,24.17469721,55.98154506,0.34735623,,2,,,,,,,inactive,0.01543805,362.62045811,2023-07-20,2026-08-19
Skies,6832539425197,Feed,facebook,inactive,campaign,1278,1868,1.46165884,"7-day click or 1-day view","Messaging conversations started",4,722.77475643,180.69368911,,,22,32.85339802,386.92438781,1.92719486,,4,,,,,,,inactive,0.21413276,180.69368911,2023-07-20,2026-08-19
"SK- LPU - Facebook + Insta + Whtsapp Ads",6612219196197,"Facebook Reels",facebook,inactive,campaign,5755,10600,1.84187663,"7-day click or 1-day view","Messaging conversations started",7,699.27338269,99.89619753,,,16,43.70458642,65.96918705,0.44339623,,7,,,,,,,inactive,0.06603774,99.89619753,2023-07-20,2026-08-19
"JGND - Punjab - MAY 2025",6699157867197,Feed,instagram,inactive,campaign,9472,10941,1.15508868,"7-day click or 1-day view","Messaging conversations started",7,696.08,99.44,,,44,15.82,63.6212412,0.5940956,,7,,,,,,,inactive,0.06397953,99.44,2023-07-20,2026-08-19
"FB Ads - 02/06/2026",6941440443997,"Instagram Stories",instagram,inactive,campaign,14335,16439,1.14677363,"7-day click or 1-day view","Messaging conversations started",8,670.72071675,83.84008959,,,103,6.51185162,40.80057891,0.74822069,,8,,,,,,,inactive,0.04866476,83.84008959,2023-07-20,2026-08-19
"FB Ads - 22/03/2026",6887028626197,"Instagram Reels",instagram,inactive,campaign,20088,26377,1.31307248,"7-day click or 1-day view","Messaging conversations started",6,667.95353945,111.32558991,,,111,6.01759945,25.32333243,0.4776889,,6,,,,,,,inactive,0.02274709,111.32558991,2023-07-20,2026-08-19
Skies,6832539425197,Feed,instagram,inactive,campaign,882,1509,1.71088435,"7-day click or 1-day view","Messaging conversations started",2,665.19358083,332.59679042,,,8,83.1491976,440.81748233,1.25911199,,2,,,,,,,inactive,0.1325381,332.59679042,2023-07-20,2026-08-19
"Fb Ads -SK - 06/08/2026",6988772271597,"Instagram Stories",instagram,inactive,campaign,9792,10663,1.08895016,"7-day click or 1-day view","Messaging conversations started",5,661.03187187,132.20637437,,,57,11.59705038,61.9930481,0.58144987,,5,,,,,,,inactive,0.04689112,132.20637437,2023-07-20,2026-08-19
"FB Ads - 22/03/2026",6887028626197,Feed,instagram,inactive,campaign,9560,11735,1.22751046,"7-day click or 1-day view","Messaging conversations started",3,655.603474,218.53449133,,,40,16.39008685,55.86736038,0.40903281,,3,,,,,,,inactive,0.02556455,218.53449133,2023-07-20,2026-08-19
"New Engagement campaign",6931637948197,"Instagram Reels",instagram,inactive,campaign,12600,18418,1.46174603,"7-day click or 1-day view","Messaging conversations started",2,645.34501358,322.67250679,,,95,6.79310541,35.03882146,0.62438918,,2,,,,,,,inactive,0.01085894,322.67250679,2023-07-20,2026-08-19
"LPU Patiala 19/04/2025",6675807605797,"Instagram Stories",instagram,inactive,campaign,12744,17712,1.38983051,"7-day click or 1-day view","Messaging conversations started",3,636.13035462,212.04345154,,,33,19.27667741,35.91521876,0.26535682,,3,,,,,,,inactive,0.01693767,212.04345154,2023-07-20,2026-08-19
"FB Ads - 01/07/2026",6976611088797,"Facebook Stories",facebook,active,campaign,10240,11304,1.10390625,"7-day click or 1-day view","Messaging conversations started",5,630.20418661,126.04083732,,,134,4.70301632,55.75054729,1.32696391,,5,,,,,,,active,0.04423213,126.04083732,2023-07-20,2026-08-19
"SKIES - 03/05/2026",6915936952597,"Facebook Reels",facebook,inactive,campaign,1968,3598,1.82825203,"7-day click or 1-day view","Messaging conversations started",8,602.83191038,75.3539888,,,14,43.05942217,167.54638977,0.91717621,,8,,,,,,,inactive,0.22234575,75.3539888,2023-07-20,2026-08-19
"FB Distance - 09/06/2026",6953152263197,"Instagram Stories",instagram,inactive,campaign,13216,16235,1.22843523,"7-day click or 1-day view","Messaging conversations started",3,592.99,197.66333333,,,177,3.35022599,36.52540807,1.19494918,,3,,,,,,,inactive,0.0184786,197.66333333,2023-07-20,2026-08-19
"AMITY Ads",6768967611397,"Instagram Stories",instagram,inactive,campaign,5616,6678,1.18910256,"7-day click or 1-day view","Messaging conversations started",2,581.79,290.895,,,19,30.62052632,87.12039533,0.35938904,,2,,,,,,,inactive,0.02994909,290.895,2023-07-20,2026-08-19
"LPU Punjab - 13/05",6715753772997,Explore,instagram,inactive,campaign,20093,26537,1.3207087,"7-day click or 1-day view","Messaging conversations started",5,579.79190183,115.95838037,,,68,8.5263515,21.84843433,0.39944229,,5,,,,,,,inactive,0.01884162,115.95838037,2023-07-20,2026-08-19
"JGND - Punjab - MAY 2025",6699157867197,"Facebook Reels",facebook,inactive,campaign,8400,13468,1.60333333,"7-day click or 1-day view","Messaging conversations started",11,579.34,52.66727273,,,30,19.31133333,43.01603802,0.54202554,,11,,,,,,,inactive,0.08167508,52.66727273,2023-07-20,2026-08-19
"FB - March 2026",6882906768197,Feed,instagram,inactive,campaign,10944,12684,1.15899123,"7-day click or 1-day view","Messaging conversations started",3,574.975681,191.65856033,,,30,19.16585603,45.33078532,0.28382214,,3,,,,,,,inactive,0.02365184,191.65856033,2023-07-20,2026-08-19
"FB Ads Online - 31/07/2026",6986086789197,Feed,facebook,inactive,campaign,3728,5451,1.46217811,"7-day click or 1-day view","Messaging conversations started",2,551.87378507,275.93689253,,,34,16.23158191,101.24266833,1.21078701,,2,,,,,,,inactive,0.03669052,275.93689253,2023-07-20,2026-08-19
MMU,6671478791197,Feed,instagram,inactive,campaign,7068,8729,1.23500283,"7-day click or 1-day view","Messaging conversations started",3,535.85,178.61666667,,,27,19.8462963,61.38732959,0.5384351,,3,,,,,,,inactive,0.0343682,178.61666667,2023-07-20,2026-08-19
"SK-LPU-MAY 2025 – 1",6724323110197,"Facebook Stories",facebook,inactive,campaign,6113,9894,1.61851791,"7-day click or 1-day view","Messaging conversations started",2,519.06487485,259.53243743,,,45,11.534775,52.46259095,0.62664241,,2,,,,,,,inactive,0.02021427,259.53243743,2023-07-20,2026-08-19
"FB Ads Online - 07/08/2026",6989431968797,"Instagram Reels",instagram,inactive,campaign,18544,22736,1.22605695,"7-day click or 1-day view","Messaging conversations started",3,518.77,172.92333333,,,100,5.1877,22.81711823,0.48821253,,3,,,,,,,inactive,0.01319493,172.92333333,2023-07-20,2026-08-19
DegreeCraft,6769014077597,"Facebook Reels",facebook,inactive,campaign,3024,4271,1.41236772,"7-day click or 1-day view","Messaging conversations started",7,517.95,73.99285714,,,16,32.371875,121.27136502,0.63217045,,7,,,,,,,inactive,0.16389604,73.99285714,2023-07-20,2026-08-19
"SK- LPU - Facebook + Insta + Whtsapp Ads",6612219196197,"Instagram Stories",instagram,inactive,campaign,2858,4186,1.4646606,"7-day click or 1-day view","Messaging conversations started",1,515.93078509,515.93078509,,,15,34.39538567,123.25150145,0.47778309,,1,,,,,,,inactive,0.02388915,515.93078509,2023-07-20,2026-08-19
