"Ad set name","Ad ID",Age,Gender,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (INR)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Messaging conversations replied","Messaging conversations started","Unique CTR (all)","Cost per lead",Leads,"Leads conversion value","Reporting starts","Reporting ends"
"Ads - Punjab",6911093708597,18-24,female,not_delivering,ad,115200,306473,2.6603559,"7-day click or 1-day view","Messaging conversations started",92,6364.37,69.17793478,2026-04-27,Ongoing,1132,5.62223498,20.76649493,0.45158954,,92,,,,,2023-07-20,2026-08-19
"Ad set 1",6976611089797,18-24,female,active,ad,116480,258422,2.21859547,"7-day click or 1-day view","Messaging conversations started",62,5983.84,96.51354839,2026-07-01,Ongoing,598,10.0064214,23.15530411,0.2952535,,62,,,,,2023-07-20,2026-08-19
"Ad set 1",6959678385597,25-34,male,not_delivering,ad,105024,182493,1.7376314,"7-day click or 1-day view","Messaging conversations started",43,5530.82,128.62372093,2026-06-14,Ongoing,412,13.42432039,30.30702547,0.30740905,,43,,,,,2023-07-20,2026-08-19
"Ads - Punjab",6911093708597,25-34,female,not_delivering,ad,75648,180096,2.38071066,"7-day click or 1-day view","Messaging conversations started",73,5182.12,70.98794521,2026-04-27,Ongoing,704,7.36096591,28.77420931,0.49917822,,73,,,,,2023-07-20,2026-08-19
"ad set 1",6861114057597,25-34,female,not_delivering,ad,66816,122855,1.8387063,"7-day click or 1-day view","Messaging conversations started",25,4685.85,187.434,2026-01-31,Ongoing,454,10.32125551,38.14130479,0.47454316,,25,,,,,2023-07-20,2026-08-19
"ad set 1",6861114057597,35-44,male,not_delivering,ad,51904,94220,1.81527435,"7-day click or 1-day view","Messaging conversations started",30,4283.86,142.79533333,2026-01-31,Ongoing,339,12.63675516,45.46656761,0.54871577,,30,,,,,2023-07-20,2026-08-19
"Ad set 1",6990852904797,25-34,female,active,ad,127872,190780,1.49196071,"7-day click or 1-day view","Messaging conversations started",97,4268.44,44.00453608,2026-07-01,Ongoing,2100,2.03259048,22.37362407,1.1998113,,97,,,,,2023-07-20,2026-08-19
SET1,6715762376997,25-34,male,archived,ad,97024,187604,1.93358344,"7-day click or 1-day view","Messaging conversations started",51,4146.79,81.30960784,2025-05-13,Ongoing,388,10.68760309,22.10395301,0.31982261,,51,,,,,2023-07-20,2026-08-19
"Ad set 1",6976611089797,35-44,male,active,ad,51200,96827,1.89115234,"7-day click or 1-day view","Messaging conversations started",56,4019.81,71.78232143,2026-07-01,Ongoing,371,10.83506739,41.51538311,0.50399166,,56,,,,,2023-07-20,2026-08-19
"Ad set 1",6959678385597,18-24,male,not_delivering,ad,97792,193377,1.97743169,"7-day click or 1-day view","Messaging conversations started",44,3947.84,89.72363636,2026-06-14,Ongoing,668,5.90994012,20.41525104,0.41318254,,44,,,,,2023-07-20,2026-08-19
